data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2019-08-06,20.48,28.469999,46.619999
2019-08-07,20.629999,28.200001,46.48
2019-08-08,20.17,28.870001,47.18
2019-08-09,20.07,28.620001,45.490002
2019-08-12,19.48,27.85,45.16
2019-08-13,19.379999,27.959999,46.5
2019-08-14,19.01,27.1,44.880001
2019-08-15,18.780001,26.5,43.889999
2019-08-16,18.9,26.379999,43.689999
2019-08-19,19.110001,26.74,43.650002
2019-08-20,18.940001,26.49,43.84
2019-08-21,18.799999,27.9,44.150002
2019-08-22,18.469999,27.629999,43.889999
2019-08-23,18.33,26.76,43.279999
2019-08-26,18.09,26.41,42.799999
2019-08-27,18.17,26.91,43.32
2019-08-28,18.15,27.1,43.48
2019-08-29,18.549999,28.120001,45.099998
2019-08-30,18.719999,28.27,45.57
2019-09-02,18.379999,27.969999,46.009998
2019-09-03,18.52,28.110001,45.52
2019-09-04,18.799999,28.82,46.52
2019-09-05,18.690001,29,46.52
2019-09-06,18.719999,29.190001,46.450001
2019-09-09,18.870001,29.77,47.889999
2019-09-10,18.82,30,48.240002
2019-09-11,18.91,29.469999,47.950001
2019-09-12,19.370001,29.83,49.689999
2019-09-13,19.1,29.66,49.790001
2019-09-16,19.15,31,48.59
